region,subregion,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf,LandLeaf,SRB_GCAME,Area_acres,Yield_TonperAcre,allocation,year.fillout,Root.logit.exponent,LandNode1.logit.exponent,LandNode2.logit.exponent,LandNode3.logit.exponent,unManagedLandValue,AgSupplySector,AgSupplySubsector,AgProductionTechnology,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight,harvests.per.year
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,MiscCropSRB,MiscCrop,273000,0.89,1.1,1990,0,1,1.25,0.875,12872995,MiscCrop,MiscCropSRB,MiscCropSRB,0.2439208,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,WheatSRB,Wheat,965000,2.14,3.91,1990,0,1,1.25,0.875,12872995,Wheat,WheatSRB,WheatSRB,2.064603,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,Root_TuberSRB,Root_Tuber,402600,14.77,1.63,1990,0,1,1.25,0.875,12872995,Root_Tuber,Root_TuberSRB,Root_TuberSRB,5.94554,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,OtherGrainSRB,OtherGrain,560000,2.01,2.27,2005,0,1,1.25,0.875,12872995,OtherGrain,OtherGrainSRB,OtherGrainSRB,1.122804,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,CornSRB,Corn,229600,4.76,0.93,2005,0,1,1.25,0.875,12872995,Corn,CornSRB,CornSRB,1.093791095,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderHerbSRB,FodderHerb,1037000,4.33,4.2,2005,0,1,1.25,0.875,12872995,FodderHerb,FodderHerbSRB,FodderHerbSRB,4.48586,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,SugarCropSRB,SugarCrop,167000,27.13,0.68,2005,0,1,1.25,0.875,12872995,SugarCrop,SugarCropSRB,SugarCropSRB,4.53,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,WheatSRB,Wheat,780000,2.67,3.16,2005,0,1,1.25,0.875,12872995,Wheat,WheatSRB,WheatSRB,2.079099,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,MiscCropSRB,MiscCrop,205397,0.83,0.83,2005,0,1,1.25,0.875,12872995,MiscCrop,MiscCropSRB,MiscCropSRB,0.169925081,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,Root_TuberSRB,Root_Tuber,322800,18.31,1.31,2005,0,1,1.25,0.875,12872995,Root_Tuber,Root_TuberSRB,Root_TuberSRB,5.909,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,OtherGrainSRB,OtherGrain,448000,2.03,1.81,2010,0,1,1.25,0.875,12872995,OtherGrain,OtherGrainSRB,OtherGrainSRB,0.9091152,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,CornSRB,Corn,315000,5.32,1.27,2010,0,1,1.25,0.875,12872995,Corn,CornSRB,CornSRB,1.6758,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderHerbSRB,FodderHerb,1068000,4.31,4.32,2010,0,1,1.25,0.875,12872995,FodderHerb,FodderHerbSRB,FodderHerbSRB,4.60005,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,SugarCropSRB,SugarCrop,170000,31,0.69,2010,0,1,1.25,0.875,12872995,SugarCrop,SugarCropSRB,SugarCropSRB,5.27,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,WheatSRB,Wheat,868500,2.59,3.51,2010,0,1,1.25,0.875,12872995,Wheat,WheatSRB,WheatSRB,2.25141255,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,Root_TuberSRB,Root_Tuber,294000,19.22,1.19,2010,0,1,1.25,0.875,12872995,Root_Tuber,Root_TuberSRB,Root_TuberSRB,5.65035,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,MiscCropSRB,MiscCrop,204192,0.93,0.83,2010,0,1,1.25,0.875,12872995,MiscCrop,MiscCropSRB,MiscCropSRB,0.189114428,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderGrassSRB,FodderGrass,340000,2.1,1.38,2010,0,1,1.25,0.875,12872995,FodderGrass,FodderGrassSRB,FodderGrassSRB,0.714,2010,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderGrassSRB,FodderGrass,340000,2.1,1.38,1975,0,1,1.25,0.875,12872995,FodderGrass,FodderGrassSRB,FodderGrassSRB,0.714,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderGrassSRB,FodderGrass,340000,2.1,1.38,1990,0,1,1.25,0.875,12872995,FodderGrass,FodderGrassSRB,FodderGrassSRB,0.714,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderGrassSRB,FodderGrass,340000,2.1,1.38,2005,0,1,1.25,0.875,12872995,FodderGrass,FodderGrassSRB,FodderGrassSRB,0.714,2005,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderHerbSRB,FodderHerb,892000,4.016401345,3.61,1975,0,1,1.25,0.875,12872995,FodderHerb,FodderHerbSRB,FodderHerbSRB,3.58263,1975,1,1,1
