# Source: USDA. Uses a blend of data from https://www.ers.usda.gov/data-products/farm-income-and-wealth-statistics.aspx and from https://data.ers.usda.gov/reports.aspx?ID=17882. ,,,
"# Notes: Data is incomplete, as USDA does not provide data for all crops and we've merged two separate USDA data sources. Subsidies are in 1975$ / billion km2",,,
# ,,,
region,GCAM_commodity,year,subsidy
USA,OilCrop,1997,632365.3972
USA,FiberCrop,1998,0
USA,Wheat,1998,1435680.438
USA,Rice,1998,664.8337769
USA,Corn,1998,2046713.596
USA,OilCrop,1998,1055103.563
USA,FiberCrop,1999,0
USA,Wheat,1999,1721301.308
USA,Rice,1999,0
USA,Corn,1999,4379405.953
USA,OilCrop,1999,1219568.797
USA,FiberCrop,2000,0
USA,Wheat,2000,2055513.669
USA,Rice,2000,0
USA,Corn,2000,4561359.724
USA,OilCrop,2000,1462897.293
USA,FiberCrop,2001,0
USA,Wheat,2001,1533433.932
USA,Rice,2001,0
USA,Corn,2001,4619632.179
USA,OilCrop,2001,1323349.55
USA,FiberCrop,2002,0
USA,Wheat,2002,947584.1318
USA,Rice,2002,0
USA,Corn,2002,1687233.39
USA,OilCrop,2002,644435.0829
USA,FiberCrop,2003,0
USA,Wheat,2003,1133437.567
USA,Rice,2003,0
USA,Corn,2003,2122514.497
USA,OilCrop,2003,725609.2321
USA,FiberCrop,2004,0
USA,Wheat,2004,1064558.981
USA,Rice,2004,0
USA,Corn,2004,2608956.572
USA,OilCrop,2004,714711.1806
USA,FiberCrop,2005,0
USA,Wheat,2005,1372786.371
USA,Rice,2005,0
USA,Corn,2005,3720752.217
USA,OilCrop,2005,1591282.663
USA,FiberCrop,2006,0
USA,Wheat,2006,842634.3365
USA,Rice,2006,0
USA,Corn,2006,2416522.724
USA,OilCrop,2006,695941.3471
USA,FiberCrop,2007,0
USA,Wheat,2007,962356.6982
USA,Rice,2007,0
USA,Corn,2007,1607201.515
USA,OilCrop,2007,351458.2301
USA,FiberCrop,2008,0
USA,Wheat,2008,1105791.67
USA,Rice,2008,0
USA,Corn,2008,1741744.359
USA,OilCrop,2008,476144.5215
USA,FiberCrop,2009,0
USA,Wheat,2009,851862.5155
USA,Rice,2009,0
USA,Corn,2009,1421399.488
USA,OilCrop,2009,731289.8427
USA,FiberCrop,2010,0
USA,Wheat,2010,1417616.412
USA,Rice,2010,0
USA,Corn,2010,1499804.679
USA,OilCrop,2010,886581.0842
USA,FiberCrop,2011,0
USA,Wheat,2011,1101049.015
USA,Rice,2011,0
USA,Corn,2011,1652103.964
USA,OilCrop,2011,429592.6725
USA,FiberCrop,2012,0
USA,Wheat,2012,944007.5545
USA,Rice,2012,0
USA,Corn,2012,1479648.044
USA,OilCrop,2012,668004.0598
USA,FiberCrop,2013,0
USA,Wheat,2013,910654.6905
USA,Rice,2013,0
USA,Corn,2013,1435225.944
USA,OilCrop,2013,581032.1719
USA,FiberCrop,2014,3563949.435
USA,Wheat,2014,503576.6755
USA,Rice,2014,0
USA,Corn,2014,454334.4463
USA,OilCrop,2014,366524.9673
USA,FiberCrop,2015,213406.4486
USA,Wheat,2015,635048.3637
USA,Rice,2015,0
USA,Corn,2015,1851611.081
USA,OilCrop,2015,414688.9086
USA,FiberCrop,2016,2446185.497
USA,Wheat,2016,0
USA,Rice,2016,0
USA,Corn,2016,0
USA,OilCrop,2016,0
USA,FiberCrop,2017,2364.494221
USA,Wheat,2017,0
USA,Rice,2017,0
USA,Corn,2017,0
USA,OilCrop,2017,0
USA,FiberCrop,2018,1430250.185
USA,Wheat,2018,0
USA,Rice,2018,0
USA,Corn,2018,0
USA,OilCrop,2018,0
